iter	Logloss
0	0.6883865696
1	0.6837367757
2	0.6792793783
3	0.6748030599
4	0.670973036
5	0.6671353488
6	0.6633597141
7	0.659013265
8	0.6553652615
9	0.6498342556
10	0.6449499512
11	0.6415098741
12	0.6384517415
13	0.6352030436
14	0.6326497396
15	0.629684923
16	0.6269585503
17	0.6247429742
18	0.6222365316
19	0.6195539008
20	0.61704088
21	0.614651964
22	0.6122108968
23	0.6101777479
24	0.6082771132
25	0.6064922418
26	0.604895223
27	0.6029354519
28	0.5997658285
29	0.5982560221
30	0.5960885281
31	0.5946789551
32	0.5937400309
33	0.5921525743
34	0.5908652072
35	0.5893326823
36	0.5882793511
37	0.5870131429
38	0.5858525255
39	0.5847386339
40	0.5835732693
41	0.581438463
42	0.5805948893
43	0.5796415202
44	0.5783253309
45	0.5770801459
46	0.5758892822
47	0.5750945367
48	0.5741794162
49	0.5732674154
50	0.5725324164
51	0.5715570068
52	0.5705645074
53	0.5697757975
54	0.5689485677
55	0.5682628377
56	0.5674766371
57	0.5658332655
58	0.5653295898
59	0.564884474
60	0.5641430664
61	0.5634760539
62	0.5629509142
63	0.5623600939
64	0.5619185723
65	0.5613908556
66	0.5608987088
67	0.5603917101
68	0.5599065484
69	0.5594596354
70	0.5591247559
71	0.5586788601
72	0.55830051
73	0.5578653293
74	0.55702162
75	0.556494751
76	0.5563021512
77	0.5557866075
78	0.5554496257
79	0.5552365451
80	0.5548834229
81	0.5545881822
82	0.5541722616
83	0.5537263997
84	0.5534366862
85	0.5525377401
86	0.5520650228
87	0.5517905002
88	0.5514147949
89	0.551201511
90	0.5509621853
91	0.550263265
92	0.5499413384
93	0.5495523749
94	0.5494549221
95	0.5491267904
96	0.5490268623
97	0.548710768
98	0.5481120809
99	0.5479498291
100	0.5477645196
101	0.5476982964
102	0.5473930528
103	0.5471238878
104	0.5462868924
105	0.5460006036
106	0.5456370036
107	0.5454428779
108	0.545135159
109	0.5450821262
110	0.5447671848
111	0.5445154826
112	0.5443409899
113	0.5440550062
114	0.5438305664
115	0.5436975776
116	0.5434955173
117	0.5432607015
118	0.5431136068
119	0.5428908624
120	0.5427150133
121	0.5424786038
122	0.5423876953
123	0.5423290337
124	0.5415149943
125	0.5412902154
126	0.5411789958
127	0.5409366184
