iter	Passed	Remaining
0	6	6733
1	12	6250
2	18	6052
3	23	5929
4	29	5934
5	35	5857
6	40	5770
7	46	5758
8	52	5741
9	58	5768
10	63	5741
11	69	5740
12	75	5714
13	80	5700
14	85	5640
15	92	5703
16	99	5768
17	103	5670
18	110	5722
19	117	5764
20	124	5824
21	131	5856
22	141	5995
23	148	6025
24	155	6050
25	162	6095
26	167	6043
27	175	6085
28	182	6106
29	186	6038
30	192	6028
31	199	6030
32	203	5967
33	210	5978
34	218	6012
35	224	6022
36	229	5963
37	235	5957
38	243	5990
39	250	6004
40	256	5997
41	263	6013
42	270	6015
43	276	6017
44	283	6021
45	290	6023
46	297	6029
47	305	6051
48	312	6057
49	319	6063
50	325	6057
51	332	6059
52	339	6058
53	345	6051
54	352	6050
55	358	6045
56	365	6054
57	372	6049
58	379	6047
59	384	6018
60	391	6019
61	397	6019
62	404	6014
63	410	6008
64	417	6003
65	423	5997
66	430	5993
67	436	5989
68	444	5990
69	450	5990
70	457	5989
71	465	5999
72	472	5996
73	478	5989
74	485	5985
75	492	5986
76	497	5960
77	504	5958
78	510	5954
79	515	5923
80	522	5923
81	528	5921
82	535	5915
83	542	5910
84	548	5905
85	555	5902
86	561	5896
87	568	5893
88	575	5887
89	581	5881
90	588	5877
91	594	5870
92	601	5868
93	608	5863
94	612	5839
95	619	5838
96	624	5809
97	630	5806
98	637	5801
99	643	5793
100	650	5789
101	654	5763
102	661	5762
103	668	5761
104	675	5757
105	682	5754
106	688	5749
107	695	5743
108	702	5740
109	706	5717
110	713	5714
111	719	5708
112	726	5701
113	732	5692
114	738	5683
115	745	5679
116	751	5670
117	757	5663
118	764	5657
119	770	5651
120	776	5644
121	783	5638
122	788	5624
123	795	5618
124	801	5612
125	808	5604
126	814	5599
127	821	5594
128	827	5587
129	833	5580
130	839	5571
131	846	5563
132	852	5556
133	860	5558
134	866	5551
135	872	5544
136	879	5537
137	885	5529
138	891	5524
139	897	5515
140	904	5509
141	910	5503
142	917	5497
143	923	5490
144	929	5483
145	936	5478
146	942	5471
147	949	5464
148	955	5457
149	962	5452
150	968	5446
151	975	5440
152	981	5433
153	988	5427
154	994	5421
155	1000	5412
156	1006	5406
157	1013	5399
158	1019	5393
159	1025	5386
160	1032	5379
161	1038	5373
162	1044	5364
163	1051	5358
164	1057	5350
165	1063	5342
166	1070	5337
167	1076	5329
168	1082	5321
169	1088	5314
170	1094	5308
171	1101	5302
172	1108	5299
173	1115	5293
174	1120	5283
175	1126	5274
176	1133	5268
177	1139	5260
178	1145	5253
179	1151	5245
180	1157	5236
181	1162	5225
182	1167	5213
183	1173	5205
184	1179	5197
185	1185	5189
186	1191	5180
187	1197	5171
188	1203	5162
189	1208	5153
190	1214	5144
191	1220	5136
192	1226	5127
193	1232	5118
194	1238	5110
195	1244	5102
196	1249	5094
197	1255	5085
198	1261	5077
199	1267	5068
200	1273	5060
201	1280	5057
202	1286	5051
203	1292	5043
204	1298	5035
205	1304	5026
206	1309	5017
207	1315	5008
208	1321	5001
209	1327	4993
210	1333	4985
211	1338	4976
212	1344	4968
213	1350	4958
214	1355	4949
215	1361	4940
216	1366	4931
217	1372	4923
218	1378	4915
219	1384	4907
220	1390	4899
221	1396	4893
222	1402	4886
223	1407	4877
224	1414	4871
225	1420	4863
226	1426	4856
227	1432	4849
228	1437	4841
229	1443	4833
230	1449	4826
231	1456	4820
232	1462	4815
233	1469	4809
234	1475	4802
235	1480	4793
236	1486	4785
237	1492	4778
238	1498	4770
239	1503	4762
240	1509	4754
241	1515	4746
242	1521	4738
243	1526	4729
244	1531	4720
245	1537	4712
246	1543	4704
247	1549	4697
248	1554	4689
249	1560	4681
250	1566	4673
251	1572	4666
252	1577	4657
253	1583	4650
254	1589	4643
255	1595	4635
256	1600	4627
257	1606	4620
258	1612	4612
259	1617	4604
260	1623	4598
261	1629	4591
262	1635	4583
263	1641	4576
264	1647	4569
265	1653	4561
266	1659	4556
267	1666	4551
268	1671	4543
269	1677	4536
270	1683	4528
271	1689	4521
272	1695	4514
273	1701	4507
274	1706	4500
275	1711	4489
276	1717	4482
277	1723	4474
278	1728	4468
279	1735	4461
280	1741	4454
281	1746	4447
282	1752	4440
283	1758	4433
284	1764	4426
285	1770	4420
286	1776	4413
287	1782	4406
288	1788	4401
289	1792	4387
290	1798	4381
291	1804	4374
292	1810	4367
293	1817	4364
294	1823	4358
295	1830	4352
296	1835	4345
297	1841	4338
298	1848	4333
299	1855	4328
300	1862	4324
301	1867	4316
302	1873	4310
303	1879	4302
304	1884	4294
305	1890	4288
306	1896	4281
307	1902	4274
308	1908	4268
309	1914	4261
310	1920	4254
311	1926	4247
312	1932	4240
313	1937	4233
314	1943	4225
315	1948	4218
316	1954	4211
317	1960	4205
318	1966	4198
319	1972	4191
320	1978	4184
321	1983	4176
322	1989	4170
323	1995	4162
324	2000	4155
325	2006	4148
326	2012	4141
327	2018	4134
328	2023	4127
329	2030	4121
330	2036	4115
331	2041	4108
332	2048	4103
333	2054	4097
334	2061	4092
335	2067	4086
336	2074	4080
337	2080	4074
338	2086	4067
339	2092	4061
340	2098	4056
341	2105	4050
342	2111	4043
343	2117	4038
344	2123	4032
345	2131	4028
346	2137	4022
347	2143	4016
348	2150	4010
349	2156	4004
350	2162	3998
351	2168	3992
352	2174	3986
353	2181	3980
354	2187	3974
355	2195	3971
356	2202	3966
357	2208	3960
358	2214	3954
359	2221	3948
360	2227	3943
361	2234	3937
362	2240	3932
363	2247	3926
364	2253	3920
365	2259	3914
366	2265	3908
367	2272	3902
368	2278	3896
369	2284	3890
370	2291	3884
371	2297	3878
372	2304	3873
373	2310	3867
374	2317	3862
375	2324	3857
376	2330	3851
377	2336	3845
378	2342	3839
379	2349	3832
380	2355	3826
381	2361	3820
382	2367	3814
383	2373	3808
384	2380	3802
385	2386	3796
386	2392	3790
387	2399	3784
388	2405	3778
389	2411	3772
390	2418	3766
391	2424	3760
392	2431	3755
393	2438	3749
394	2444	3744
395	2451	3739
396	2457	3733
397	2463	3726
398	2470	3720
399	2476	3714
400	2482	3708
401	2489	3702
402	2495	3697
403	2502	3691
404	2508	3685
405	2514	3679
406	2521	3673
407	2527	3667
408	2534	3662
409	2540	3656
410	2547	3650
411	2553	3643
412	2558	3637
413	2564	3630
414	2570	3623
415	2576	3617
416	2583	3611
417	2590	3606
418	2596	3599
419	2602	3593
420	2608	3587
421	2614	3580
422	2621	3576
423	2628	3570
424	2633	3563
425	2640	3557
426	2645	3550
427	2651	3543
428	2657	3537
429	2663	3531
430	2669	3524
431	2673	3515
432	2679	3508
433	2686	3503
434	2691	3496
435	2697	3489
436	2703	3482
437	2709	3476
438	2715	3469
439	2721	3463
440	2726	3456
441	2732	3449
442	2738	3442
443	2743	3435
444	2749	3429
445	2755	3422
446	2761	3415
447	2767	3409
448	2772	3402
449	2779	3396
450	2785	3390
451	2791	3383
452	2797	3377
453	2803	3371
454	2809	3364
455	2815	3358
456	2821	3351
457	2826	3345
458	2832	3338
459	2838	3332
460	2843	3325
461	2849	3318
462	2855	3311
463	2861	3305
464	2867	3298
465	2872	3292
466	2878	3285
467	2884	3278
468	2890	3272
469	2895	3265
470	2901	3258
471	2906	3251
472	2912	3245
473	2918	3238
474	2924	3232
475	2930	3226
476	2936	3219
477	2942	3213
478	2948	3207
479	2954	3200
